#time (s), temperature (K), gate voltage (V), leakage current (A), resistance (ohm), phase (), demodulation duration (s)
0.0000000000e+00, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0271395315e+03, -1.9309092154e-03, 9.5612342857e-02
1.0989999771e+00, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0250761926e+03, 1.3938658186e-02, 1.0339474286e-01
2.0989999771e+00, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0259942762e+03, -7.0075026006e-03, 1.0561828571e-01
3.0989999771e+00, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0385438428e+03, 1.7954743791e-02, 1.0673005714e-01
4.0989999771e+00, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0267118099e+03, 6.6550711325e-03, 1.0784182857e-01
5.0989999771e+00, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0130625062e+03, 3.5281632027e-03, 1.0339474286e-01
6.0989999771e+00, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0061642615e+03, 1.5966150089e-03, 1.0784182857e-01
7.0989999771e+00, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0348181573e+03, 1.0045624731e-03, 1.0228297143e-01
8.0989999771e+00, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0190665049e+03, -4.4896363733e-03, 1.0895360000e-01
9.0989999771e+00, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0094909603e+03, -3.0267840741e-04, 1.0228297143e-01
1.0098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0353092521e+03, 2.1544076659e-03, 1.0450651429e-01
1.1098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 8.9769593097e+01, 1.1752947232e-01, 1.0895360000e-01
1.2098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0125904589e+02, 3.6998246319e-01, 1.1117714286e-01
1.3098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 9.9036758041e+01, 3.9132801301e-02, 1.0450651429e-01
1.4098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.1508123824e+02, 1.5581994512e-01, 1.0450651429e-01
1.5098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0936774627e+02, 1.3857398232e-01, 9.6724114286e-02
1.6098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0702865190e+02, 3.2891610067e-02, 1.0450651429e-01
1.7098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0046590074e+02, -3.0391299237e-03, 1.0117120000e-01
1.8098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0327457292e+02, -1.0279190502e-01, 9.6724114286e-02
1.9098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 9.0594065605e+01, 2.4175029792e-01, 1.0784182857e-01
2.0098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0227796832e+02, 1.1250637936e-01, 1.0339474286e-01
2.1098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 9.4256349748e+01, -3.5998282023e-01, 1.0784182857e-01
2.2098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.1992248176e+02, -1.1931864197e-01, 1.0228297143e-01
2.3098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.2187171093e+02, 8.0756272005e-02, 1.0228297143e-01
2.4098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.1460691739e+02, 2.1644542013e-01, 1.0450651429e-01
2.5098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 9.4527832807e+01, -9.1189075780e-02, 1.0895360000e-01
2.6098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.1833239703e+02, 1.0275209744e-01, 1.0561828571e-01
2.7098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0734787234e+02, 1.0979775256e-01, 1.0450651429e-01
